?Threat Description,Malware
"Jasmina Alston reports that a second student has now been arrested in connection with the theft &#8211; and creation of a searchable databaseÿof &#8211; 40,000ÿJacksonville State Universityÿstudent and faculty data. According to the university, suspects obtained the data by using log in information for a management database used by an institutional office. This is still <a href='https://www.databreaches.net/update-second-arrest-in-jackson-state-u-data-breach/' class='excerpt-more'>[...]</a>",IdentityThreat
"Abby Sewell reports thatÿLos Angeles County Department of Health Services computers were hit with a ransomware attack just days after a similar attack on Hollywood Presbyterian Medical Center. ÿThe attack was on a smaller scale and the county did not pay any ransom. Nor, it seems, did they need to. Spokesman Michael Wilson saidÿthe agency <a href='https://www.databreaches.net/los-angeles-county-health-department-targeted-in-ransomware-attack/' class='excerpt-more'>[...]</a>",IdentityThreat
"Adam Poulisse reports: A computer hard drive containing patient information was stolen from FHN Memorial Hospital in December. The hard drive did not contain medical records, but did have internal reports and spreadsheets with patient data, according to a FHN news release. The files may have included a patient&#8217;s name, Social Security number, contact information, <a href='https://www.databreaches.net/il-fhn-memorial-hospital-reveals-hard-drive-with-patient-info-was-stolen-in-december/' class='excerpt-more'>[...]</a>",IdentityThreat
"(Feb. 26, 2016, ST. LOUIS)ÿ? BJC HealthCare Accountable Care Organization (BJC ACO) has notified 2,393 patients that identifying information was sent to a participating medical practice through an unencrypted email. All affected patients have been offered identity theft protection free of charge. BJC ACO discovered on Dec. 30, 2015, that an email containing health information <a href='https://www.databreaches.net/bjc-healthcare-accountable-care-organization-notifies-patients-of-unencrypted-email/' class='excerpt-more'>[...]</a>",IdentityThreat
"Joseph Cox reports: A hacker on theÿdark web forum Hellÿclaims to have sold the email addresses and plaintext passwords of over 27 million users of dating site Mate1.com. ?Their server was compromised and the MySQL database was dumped,? the hacker, who asked to remain anonymous, told Motherboard. ?I had shell/command access to their server.? Read <a href='https://www.databreaches.net/hacker-claims-to-have-sold-27m-mate1-com-passwords/' class='excerpt-more'>[...]</a>",IdentityThreat
"Joseph Lazzarotti of Jackson Lewisÿhighlights an important note in recent OCR guidance: &#160; What is a covered entity?s obligation under the Breach Notification Rule if it transmits an individual?s PHI to a third party designated by the individual in an access request, and the entity discovers the information was breached in transit? If a covered <a href='https://www.databreaches.net/hipaa-covered-entities-not-responsible-for-intercepted-transmission-of-phi-when-individual-requested-unsecured-transmission-office-for-civil-rights-concludes/' class='excerpt-more'>[...]</a>",InsiderThreat
"John Russell reportsÿthatÿa number of Snapchat&#8217;sÿÿcurrent and former employees had their payroll information stolenÿafter an employee fell for what has become a common attack known as BEC (Business Email Compromise). In BEC, aÿscammerÿposes as a corporate executive and sends an email requesting payroll or customer data. ?Last Friday, Snapchat?s payroll department was targeted by an <a href='https://www.databreaches.net/snapchat-just-impossibly-sorry-after-employee-payroll-data-compromised-in-bec-scam/' class='excerpt-more'>[...]</a>",IdentityThreat
"It looks like TeaMp0isoN&#8217;s been busy again. This time it&#8217;s the Time Warner Cable Business Class Managed Security Solutions portal that got hacked with the following defacement left as a message: The @TeaMp0sioNÿTwitter account announced the breach byÿPseudo, Militis, Jimmy, and ÿMLT onÿSunday afternoon, followed shortly by a data dump consisting of 4,191 records containing <a href='https://www.databreaches.net/some-time-warner-business-class-customer-data-hacked-and-dumped-by-teamp0ison/' class='excerpt-more'>[...]</a>",IdentityThreat
"Neil Hartnell reports: The Save the Bays activist group yesterday informed the data protection watchdog it will submit a formal complaint over the leaking of its private e-mails, once its own investigation and legal analysis is completed. Ferron Bethell, the attorney acting for the Save the Bays plaintiffs, branded the leak as ?one of the <a href='https://www.databreaches.net/bs-activists-to-send-leak-complaint-to-data-watchdog/' class='excerpt-more'>[...]</a>",IdentityThreat
"There&#8217;s an update on an insider breach for tax refund fraud involving patient data from the Kirkbride Center in Pennsylvania. As noted in 2014, the data theft occurred in 2012 and 2013. A federal jury sitting in the Eastern District of Pennsylvania returned a guilty verdict today against an Aldan, Pennsylvania, man on charges related <a href='https://www.databreaches.net/pa-former-employee-at-kirkbride-center-convicted-of-charges-relating-to-patient-data-theft-for-tax-refund-fraud/' class='excerpt-more'>[...]</a>",InsiderThreat
Melynda Schauerÿreports on a case of an identity thief posingÿas a customer service representative to steal others&#8217; identity information. A tad wild: Jefferson County Sheriff?s deputies are searching for a man charged with identity theft who claimed to use his job as a customer service representative to obtain data he needs for his ?actual career.? <a href='https://www.databreaches.net/al-former-customer-service-rep-from-birmingham-wanted-for-identity-theft/' class='excerpt-more'>[...]</a>,IdentityThreat
"Esther Han reports: The private information of more than a million customers of online takeaway giant Menulog is at risk of being stolen, with experts deeming the website as &#8220;vulnerable&#8221; and &#8220;not secure&#8221;. Nicola Holden, from Victorian chain Pizza Fellas, said when she logged in to the Menulog website, she stumbled upon the names and <a href='https://www.databreaches.net/more-than-a-million-menulog-customers-private-data-at-risk-of-theft/' class='excerpt-more'>[...]</a>",InsiderThreat
"Val Verde Regional Medical Center recently discovered a security breach involving a small number of the facility?s overall patient population.ÿ On or about Aug. 9, 2015, an independent healthcare provider downloaded unsecured protected health information and emailed it to a personal account without encryption protection. In addition, the independent contractor was not authorized to access <a href='https://www.databreaches.net/val-verde-alerting-patients-after-data-breach-discovered/' class='excerpt-more'>[...]</a>",InsiderThreat
"Chris Vickery writes: I was surprised to read that the crooks nabbed a MongoDB from Verizon that is being sold on the black market for $100,000. The reason I?m surprised? Well, I discovered a highly similar Verizon breach this last December. Brian Krebs recently reported on a Verizon data breach here:ÿÿhttps://krebsonsecurity.com/2016/03/crooks-steal-sell-verizon-enterprise-customer-data I don?t know for <a href='https://www.databreaches.net/verizon-double-take/' class='excerpt-more'>[...]</a>",InsiderThreat
"J. M. Porup reports: At a court hearing earlier this month, the UK&#8217;s National Crime Authority (NCA) demanded that Lauri Love, aÿBritish computer scientist whoÿallegedly broke into US government networksÿand caused &#8220;millions of dollars in damage,&#8221; decrypt his laptop and other devices impounded by the NCA in 2013, leading some experts to warn that a <a href='https://www.databreaches.net/uk-cops-tell-suspect-to-hand-over-crypto-keys-in-us-hacking-case/' class='excerpt-more'>[...]</a>",IdentityThreat
"Stephanie Allen reports: A Kissimmee man is facing federal charges alleging he sold hundreds of Godiva Chocolatier employees&#8217; identities. Jonathan Munoz was arrested Thursday after meeting with an undercoverÿInternal Revenue Serviceÿagent to allegedly sell a list of names, Social Security numbers and date of births, court documents state. Read more on Orlando Sentinel. So where <a href='https://www.databreaches.net/godiva-workers-ids-sold-in-florida-sting-feds-say/' class='excerpt-more'>[...]</a>",IdentityThreat
"Wow. This kid got off lightly, compared to what would likely have happened here in the U.S. News &#38; Star reports that Anthony Luke Fultonÿwas given a 16-month prison sentence, suspended for two years,ÿtold to carry out 100 hours of unpaid work and ordered to pay both a œ100 victim surcharge and œ100 in compensation <a href='https://www.databreaches.net/cumbrian-hacker-who-attacked-moonpig-avoids-prison/' class='excerpt-more'>[...]</a>",IdentityThreat
"DAVID W. KENT, the founder of professional networking website Oilpro.com (?Oilpro?), was arrested for charges relating to computer hacking and wire fraud.ÿ The charges stem from KENT?s alleged role in repeatedly hacking into a competitor?s database to steal customer information and attempting to sell Oilpro to the same company whose database KENT had hacked. ÿKENT <a href='https://www.databreaches.net/oilpro-com-founder-charged-in-manhattan-federal-court-with-hacking-into-competitors-computer-system/' class='excerpt-more'>[...]</a>",IdentityThreat
"Two more colleges have reported breaches involving employee W-2 data. I&#8217;m late picking the first oneÿup, but it seems Allegheny College employees reported problems when filing taxes.ÿOn April 14, Angela Mauroni reported that at leastÿ74 non-student employees of the Pennsylvania college had reported such problems. ÿThe college believes the information was accessed through the hacking <a href='https://www.databreaches.net/two-more-colleges-report-compromise-of-employee-w-2-info/' class='excerpt-more'>[...]</a>",InsiderThreat
"What Mexican political party Movimiento Ciudadanos is saying in the wake of a massive data leak is just so inconsistent with available evidenceÿthat DataBreaches.netÿwill continue to try explain to the public what the available evidence actually shows. As part ofÿefforts to properly inform the Mexican public about a massive leak involving their information, this site <a href='https://www.databreaches.net/movimiento-ciudadanos-continues-to-claim-it-was-hacked-despite-evidence-of-leak/' class='excerpt-more'>[...]</a>",InsiderThreat
"Some people take the security of their email addresses very seriously. Alex Lewis reports: An official at Welwyn Hatfield Council sent a routine email to members of the Borough Panel, a formal consultation group with 510 members, but forgot to ?blind copy? it. Consequently, everybody receiving the message, about a draft council tax support scheme <a href='https://www.databreaches.net/uk-anger-and-resignations-after-welwyn-hatfield-council-security-breach/' class='excerpt-more'>[...]</a>",IdentityThreat
The concept of web sites that allow you to check to see if your data were caught up in a hack and data dump really took off after Troy Hunt opened HaveIBeenPwned.com. Now there&#8217;s a site that allows you to check to see if your data were caught up in the Qatar National Bank (QNB)ÿdata <a href='https://www.databreaches.net/verifier-web-site-allows-you-to-check-to-see-if-your-data-were-in-the-qnb-data-dump/' class='excerpt-more'>[...]</a>,IdentityThreat
Samhati Bhattacharjya reports: A group of hackers linked to the Islamic State have released a hit list of thousands of New York residents and have urged the militant group&#8217;s followers to target them. The target list was reportedly posted with an announcement saying &#8220;We want them #Dead&#8221; on encrypted messaging app Telegram. NBC New York <a href='https://www.databreaches.net/cyber-caliphate-posts-details-of-3600-new-yorkers-online-we-want-them-dead/' class='excerpt-more'>[...]</a>,IdentityThreat
I&#8217;ve continued to add entities to my list of firms or entities where employee W-2 information was successfully phished by emails purporting to be from an entity&#8217;s executive. One notification I read this morning made me cringe because the firmÿthat was successfully phished has contracts with the government involving mission critical systemsÿfor U.S. and coalition <a href='https://www.databreaches.net/federal-contractor-with-cybersecurity-ties-notifies-employees-after-w-2-info-acquired-by-targeted-phishing/' class='excerpt-more'>[...]</a>,IdentityThreat
"Seen on Vibrant Body Wellness: We were robbed! Literally. Yes, it?s sad but true ? our office at Vibrant Body Wellness was broken into during the weekend of March 5th to March 8th. ÿThings were stolen and no one was physically injured. ÿWe are grateful for that, and have been sorting through the violation and <a href='https://www.databreaches.net/vibrant-body-wellness-notifies-patients-after-burglar-steals-hardware-with-phi/' class='excerpt-more'>[...]</a>",IdentityThreat
"Back in March, I blogged about the question as to whether a ransomware attack needed to be reported to HHS as a HIPAA breach. In that post, I quoted an HHS spokesperson who informed DataBreaches.net that a ransomware situation was an impermissible disclosureÿ(because the attacker had access to the data even if the data weren&#8217;t <a href='https://www.databreaches.net/is-ransomware-considered-a-health-data-breach-under-hipaa/' class='excerpt-more'>[...]</a>",IdentityThreat
"Siriam Sharma reports: An anonymous hacker has been able to infiltrate food delivery startup InnerChef&#8216;s servers, and has leaked a partial list of names, phone numbers, and email addresses used at registration to demonstrate the exploit. Gadgets 360 confirmed the data breach by calling and verifying three of the phone numbers provided in the list <a href='https://www.databreaches.net/some-users-of-innerchef-had-info-hacked-and-leaked/' class='excerpt-more'>[...]</a>",IdentityThreat
"Joseph Cox reports: A hacker is advertising a cache of email addresses, poorly secured passwords, phone numbers, and other information from users of photo sharing and video streaming app &#8217;17&#8217;, which isÿparticularly popularÿin Asia. The data is being sold on The Real Deal, aÿdark web marketÿthat specialises in stolen information and computer exploits. The data <a href='https://www.databreaches.net/millions-of-user-accounts-for-streaming-app-17-hacked-and-up-for-sale/' class='excerpt-more'>[...]</a>",InsiderThreat
"Darren Pauli reports: The US computer emergency response team has issued a warning after admin credentials were found in a popular medical application used for acquiring patient data. The MEDHOST application isÿdesigned forÿhandling the perioperative three stages of surgery including patient tracking, and patient conditions. It can be hosted and managed remotely. About 1,000 healthcare <a href='https://www.databreaches.net/cert-warns-of-hardcoded-creds-in-medical-app/' class='excerpt-more'>[...]</a>",IdentityThreat
"Stamford Podiatry Group in Stamford, Connecticut is notifying patients that their network was comprised and electronic health records (EHR) may have been accessed and copied. Although forensics examination was unable to determine with certainty exactly what data were exfiltrated, Dr. Rui DiMelo, Vice President of Stamford Podiatry Group, informed patients that unauthorized persons obtained &#8220;covert&#8221; <a href='https://www.databreaches.net/ehremr-hacks-impact-connecticut-and-pennsylvania-patients/' class='excerpt-more'>[...]</a>",IdentityThreat
"A telecom in India has filed a criminal complaint against a former employee for stealing proprietary information on his way out. Times of India doesn&#8217;t name the employee, but the firm seems to beÿGujarat Telecom Circle.",InsiderThreat
"Oh great &#8211; another voter database leak. RT reports: The Russian Party of People?s Freedom, PARNAS, has had to suspend its internet primaries after a file with personal details of all participants was placed on the party?s website. Top party officials blame unidentified hackers for the privacy breach. PARNAS was holding primaries in order to <a href='https://www.databreaches.net/ru-opposition-parnas-party-cancels-primaries-over-massive-leak-of-voters-personal-data/' class='excerpt-more'>[...]</a>",IdentityThreat
"Anand Narayanaswamy reports: Hacking is not an easy task but for Himalaya Mohanty, a 19-year old student currently pursuing his ITI course in Odisha, it was just a fun which turned into nightmare. Mohanty allegedly hacked into the EPABX of a private company in the city using his own mobile phone, which resulted in financial <a href='https://www.databreaches.net/odisha-student-arrested-for-hacking-into-lloyd-electrical-and-engineering-ltd-causing-financial-loss-of-rs-60-lakhs/' class='excerpt-more'>[...]</a>",InsiderThreat
The headline in the Daily Mail basically says it all: British teenager hacks North Korea&#8217;s newly-launched Facebook site after guessing the login and password were set to &#8216;admin&#8217; and &#8216;password&#8217; Well almost all. Note that this is not Facebook&#8217;s site but a Facebook clone calledÿphpDolphin. Even so&#8230; &#160;,InsiderThreat
"I&#8217;m not really surprised by a story I read today, as I go to a lot of businesses that tell me they still haven&#8217;t enabled the chip reader on their Point of Sale (POS) systems, but this is the first time I&#8217;ve actually seenÿa report of a business penalized it for it by a bank. <a href='https://www.databreaches.net/if-you-havent-enable-the-chip-reader-yet-fraudulent-charges-may-not-be-reimbursed/' class='excerpt-more'>[...]</a>",IdentityThreat
"Joseph Cox reports the follow-up to a breach that I covered on PogoWasRight.org. The breach involved a Danish grad student dumpingÿOkCupid users&#8217; personal and sensitive info in a data set for &#8220;research&#8221; purposes, claiming it was &#8220;public&#8221; data.ÿThey had neither sought nor obtained consent to scrape the user database, and although they did not include <a href='https://www.databreaches.net/danish-authorities-investigate-okcupid-incident/' class='excerpt-more'>[...]</a>",InsiderThreat
"David Pugliese reports: Veterans Affairs is acknowledging another case where the confidential files of a Canadian veteran were accessed, without consent, by an employee of the Royal Canadian Legion. The Ottawa Citizen reported on such cases in early May, but at the time, Veterans Affairs said it was aware of only one complaint about unauthorized <a href='https://www.databreaches.net/ca-veterans-affairs-admits-to-another-privacy-breach-by-canadian-legion-staff/' class='excerpt-more'>[...]</a>",InsiderThreat
"Janet Kim reports: The Northshore School District is updating parents that student&#8217;s emails were not hacked, instead were spammed after first warning parents that an outsider gained access to student emails. Now students are locked out of their emails with just weeks left in the school year, as the district investigates this serious security breach. <a href='https://www.databreaches.net/wa-northshore-school-district-students-receive-emails-with-inappropriate-messages/' class='excerpt-more'>[...]</a>",IdentityThreat
"Sam Pudwell reports: I?ve been trying not to think about Euro 2016 after England?s whimpering exit on Monday night, but new research from mobile security and management firmÿWanderaÿhas grabbed my attention. According to analysis of data traffic patterns from enterprise mobile devices, the official UEFA Euro 2016 Fan Guide App is leaking user?s personal information <a href='https://www.databreaches.net/euro-2016-app-leaking-private-user-data/' class='excerpt-more'>[...]</a>",IdentityThreat
"The latest information from a group which claims to be ethical hackers shows efforts to trace the owners and identify the operation of the defunct HashOcean Bitcoin mining company, whichÿsuddenly disappeared with an estimated millions of dollars worth of the digital currencyÿas investment from miner, is ongoing. ?We are so close and we have been <a href='https://www.databreaches.net/hackers-track-hashocean-mining-company/' class='excerpt-more'>[...]</a>",InsiderThreat
9News reports: ÿA cyber incident is affecting compute systems in Larimer County. The county&#8217;s computer systems have had limited function since the incident on Wednesday. County officials say they&#8217;re working withÿsecurity providers to find the cause and get the restores services. County data is secure and protected. The duration of this event is unknown. Read <a href='https://www.databreaches.net/co-hackers-hit-larimer-county-services-impacted/' class='excerpt-more'>[...]</a>,InsiderThreat
"Brandon Gonez reports: The University of Regina (U of R) has launched an investigation after a privacy breach. Three personal computers from various faculties were hacked last week in two separate cyber attacks. According to the U of R, names, student and employee numbers, as well as social insurance numbers, may have been accessed. ?There <a href='https://www.databreaches.net/ca-university-of-regina-launches-investigation-after-computers-with-personal-information-hacked/' class='excerpt-more'>[...]</a>",IdentityThreat
"Field Walsh reports: Local podiatrist Gregg Petty pleaded not guilty to fraud and identity theft at a hearing Wednesday in a Texarkana federal court. Petty, 52, appeared for arraignment with Texarkana attorney Thomas Johnson in the Texarkana Division of the Eastern District of Texas. Johnson entered pleas of not guilty on Petty?s behalf to 22 <a href='https://www.databreaches.net/texas-podiatrist-pleads-not-guilty-to-fraud-identity-theft/' class='excerpt-more'>[...]</a>",InsiderThreat
"Max Metzger reports: A list of suspected criminals has been leaked online. The list was leaked from a Thomson-Reuters due diligence service, World-Check. which profiles individuals and businesses suspected of ties to organised crime and terrorism. The leaked database contains 2.2 million records from an old list, dated back to mid-2014. Read more on SC <a href='https://www.databreaches.net/dubious-list-of-dubious-figures-leaked-online/' class='excerpt-more'>[...]</a>",IdentityThreat
"There&#8217;s a follow-up to an arrest reported in 2014. Melanie Petrinec reports: HackerÿShane Duffy has been sentenced to 2.5 years in jail but will be released on parole today. The 23-year-old?s family sobbed in the public gallery as the sentence was handed down by Judge Tony Moynihan. Shane Stephen Duffy, 23, pleaded guilty to nine <a href='https://www.databreaches.net/au-computer-game-hacker-pleads-guilty-to-nine-charges-in-brisbane-district-court/' class='excerpt-more'>[...]</a>",IdentityThreat
"Several customers of an Oroville auto insurance company are out hundreds, even thousands of dollars and now police are looking for a woman who used to work there&#8230; Oroville police are investigating this case, they say a woman who was fired from cost-u-less on Oro Dam Boulevard stole credit card information from at least 10 <a href='https://www.databreaches.net/ca-cost-u-less-cost-some-customers-more-after-insider-credit-card-theft/' class='excerpt-more'>[...]</a>",IdentityThreat
"Stephanie Bodoni reports: Two ex-PricewaterhouseCoopers staffers were found guilty in Luxembourg of stealing confidential tax files that helped unleash a global scandal over generous fiscal deals for hundreds of international companies. Antoine Deltour and Raphael Halet face suspended sentences ofÿ12 months and 9 months and were ordered to pay fines of 1,500 euros ($1,670) and <a href='https://www.databreaches.net/ex-pwc-duo-get-suspended-jail-terms-for-luxleaks-data-theft/' class='excerpt-more'>[...]</a>",IdentityThreat
"Bradley Barth reports: &#8230;ÿResearchers at the cybersecurity firm TrapX Securityÿrefer to the act of infiltrating or hijacking medical devices as MEDJACK. In a 2015 report, the company cited examples of such attacks in which the malware infection was limited to the device itself. No more, however: In its 2016 MEDJACK.2 report, TrapX revealed examples of <a href='https://www.databreaches.net/x-ray-and-mri-machines-among-devices-used-as-springboards-for-data-breach-attacks/' class='excerpt-more'>[...]</a>",IdentityThreat
"Sometimes it takes a while to find documentation on breaches posted on HHS&#8217;s public breach tool. Here are some details on two breaches added to their site this month: Blaine Chiropractic Center &#8211; MN On July 14, HHS posted an entry for Blaine Chiropractic Center in Minnesota that affected 1,945 patients.ÿÿThe incident was coded as <a href='https://www.databreaches.net/some-recent-additions-to-hhss-breach-tool/' class='excerpt-more'>[...]</a>",IdentityThreat
"LuLu Chang reports: It?s supposed to be predicting the next wordÿor now, emoji, thatÿyouÿwant to use, but SwiftKey is in trouble after users discovered that bad suggestions were actually the result of aÿdata leak. The British keyboard app that was acquired by Microsoft earlier this year is known for its approachable use of artificial intelligence <a href='https://www.databreaches.net/swiftkey-leak-spreads-data-among-users/' class='excerpt-more'>[...]</a>",IdentityThreat
"GLENDALE, Calif.,ÿJuly 30, 2016ÿ/PRNewswire/ &#8212;ÿOnÿJuly 12, 2016, unauthorized activity was detected on the playdomforums.com website, resulting in an immediate forensic investigation of the incident by Disney Consumer Products and Interactive Media (DCPI). The investigation found that an unauthorized party obtained usernames, passwords and email addresses for approximately 391,000 playdomforums.com accounts. The unauthorized party also obtained <a href='https://www.databreaches.net/playdom-forum-site-breach-affects-391000-usernames-email-addresses-and-passwords-impacted/' class='excerpt-more'>[...]</a>",IdentityThreat
"Richard Stradling reports: N.C. State University says it has notified 38,000 current and former students that some of their personal information may have been accessed by someone who hacked into the university?s computer system. NCSU officials say someone accessed a university email account using a ?sophisticated phishing scam? and got access to a file from <a href='https://www.databreaches.net/ncsu-warns-38000-students-of-computer-breach/' class='excerpt-more'>[...]</a>",IdentityThreat
"So it appears that University of Arkansas for Medical Sciences had a breach back in January, but only this week (based on the notice&#8217;s metadata) posted something on their site about it: UAMS has been unable to notify approximately 15 patients regarding an incident that may have involved disclosure of their personal information. What happened? <a href='https://www.databreaches.net/university-of-arkansas-for-medical-sciences-statement-on-missing-patient-records/' class='excerpt-more'>[...]</a>",IdentityThreat
The United States Department of Homeland Security (DHS) has released guidelines and points of contact forÿreporting cyber incidentsÿto the Federal Government. This communication follows the recent release of Presidential Policy Directive 41 (PPD-41)?United States Cyber Incident Coordination?which outlines how the Federal Government will handle cyber incidents. Users and administrators are encouraged to review these documents <a href='https://www.databreaches.net/dhs-announces-cyber-incident-reporting-information-us-cert/' class='excerpt-more'>[...]</a>,IdentityThreat
"Helen Whitehouse reports: Confidential documents detailing the backgrounds of hundreds of people have gone missing following an office upgrade blunder. Bungling Contractors threw out a locked filing cabinet containing up to 500 Disclosure and Barring Service (DBS) certificates for people who had applied to become registered managers and providers. The error, which happened during the <a href='https://www.databreaches.net/uk-bungling-contractors-throw-out-500-confidential-documents-in-newcastle-cqc-office-refurb-blunder/' class='excerpt-more'>[...]</a>",IdentityThreat
"WSOC reports: UNC Charlotte employees? bank accounts were targeted by a hacker. The school was alerted to the breach when it found a problem with an employee?s direct deposit information. Channel 9 reporter Ken Lemon talked to some university employees who didn?t want to go on camera. Their information wasn&#8217;t compromised, but they said they <a href='https://www.databreaches.net/unc-charlotte-employees-bank-accounts-hacked/' class='excerpt-more'>[...]</a>",IdentityThreat
"Megan Gillis reports: Two Gatineau police officers were arrested Friday morning and immediately suspended with pay afterÿa criminal investigation into unauthorized use of a computer and breach of trust. The officers, one with three years of service and the other four years of service, have not been charged. Read more on Ottawa Citizen. Thanks to <a href='https://www.databreaches.net/gatineau-officers-arrested-in-criminal-investigation-for-misuse-of-database/' class='excerpt-more'>[...]</a>",InsiderThreat
Amanda Ziadeh reports: The Department of Health and Human Services is looking to strengthen the privacy and security of health care information by sharing cyber threat data with partner agencies and stakeholders. HHS? Office of the National Coordinator for Health Information Technology and the Assistant Secretary for Preparedness and Response released funding opportunities for an <a href='https://www.databreaches.net/hhs-seeks-threat-information-sharing-system-for-health-sector/' class='excerpt-more'>[...]</a>,IdentityThreat
"Risk Based Security reports: Risk Based Security and RPS Executive Lines are pleased to announce the release of the latest installment of the Data Breach QuickView Report. The MidYear 2016 Report shows that, while the number of data breaches for the year is down approximately 17% compared to the same time last year, the number <a href='https://www.databreaches.net/data-breaches-lead-to-over-1-billion-records-exposed-in-the-first-half-of-2016/' class='excerpt-more'>[...]</a>",IdentityThreat
"Max Massey of KOLN reports thatÿthe former owner of Four Star Drugÿin Lincoln said he had shredded, or transferred all of the important documents once his store went out of business. Sometimes a picture does speak 1,000 words. Look at this stack ofÿpapers with social security numbers, medical history, prescriptions, and even papers labeled confidential. <a href='https://www.databreaches.net/ne-personal-and-medical-information-discarded-after-pharmacy-closes-business/' class='excerpt-more'>[...]</a>",IdentityThreat
"Jim Finkle reports: SWIFT, the global financial messaging system, on Tuesday disclosed new hacking attacks on its member banks as it pressured them to comply with security procedures instituted after February&#8217;s high-profile $81 million heist at Bangladesh Bank. In a private letter to clients, SWIFT said that new cyber-theft attempts &#8211; some of them successful <a href='https://www.databreaches.net/swift-discloses-more-cyber-thefts-pressures-banks-on-security/' class='excerpt-more'>[...]</a>",IdentityThreat
Aÿnew blog post from the Federal Trade Commissionÿprovides guidance to businesses on how the cybersecurity framework created by the National Institute for Standards and Technology (NIST) aligns with the FTC?s data security program. The post outlines the key elements of the NIST framework and how it relates to the FTC?s long-standing approach to data security. <a href='https://www.databreaches.net/ftc-blog-post-outlines-how-nist-cybersecurity-framework-relates-to-ftc-data-security-program/' class='excerpt-more'>[...]</a>,IdentityThreat
"From the Information Commissioner&#8217;s Office, an interesting report withÿdataÿfor Q1 of 2016/17 by sector and attack type. Not surprisingly, the greatest number of breaches were reported by the healthcare sector: Analysis of the typesÿof health data security incidents revealed that the most common sources were errors involving paper records, such as mailing or faxing errors, <a href='https://www.databreaches.net/uk-data-security-incident-trends/' class='excerpt-more'>[...]</a>",InsiderThreat
"Naomi Jagoda reports: The Internal Revenue Service identified close to 1.1 million taxpayers who were victims of employment-related identity theft from 2011 through 2015, but almost none of the victims were informed, a Treasury Department watchdog found in a report made public this week. ?Employment-related identity theft can cause significant burden to taxpayers, including the <a href='https://www.databreaches.net/watchdog-irs-failed-to-notify-over-1m-people-of-identity-theft/' class='excerpt-more'>[...]</a>",IdentityThreat
"TheÿNew York State Psychiatric Institute, aÿfacility owned and operated by the New York State Office of Mental Health, has reported the following incident to HHS as impacting 21,880 research participants: On June 17, 2016, New York State Psychiatric Institute (NYSPI) ÿlearned that, between April 28 and May 4, certain parts of our system were accessed <a href='https://www.databreaches.net/new-york-state-psychiatric-institute-notifies-21880-research-participants-of-hack/' class='excerpt-more'>[...]</a>",IdentityThreat
Golden Gate Express reports on a lawsuit stemming from a breach you may not haveÿheard about: A former SF State information security officer claimed in a lawsuit that she was fired in a University attempt to sweep ?under the rug? a 2014 hack involving a significant student records breach including financial records and password reset <a href='https://www.databreaches.net/fired-employee-sues-sf-state-for-1-million-after-alleged-hack/' class='excerpt-more'>[...]</a>,IdentityThreat
"Ransdell Pierson reports: University of Michigan researchers on Tuesday said their own experiments undermine recent allegations of security flaws in St. Jude Medical Inc&#8217;s pacemakers and other implantable medical devices. Shares of St. Jude fell 5 percent on Thursday after short-selling firm Muddy Waters and its business partner, cyber security company MedSec Holdings Inc, alleged <a href='https://www.databreaches.net/study-finds-flaws-in-medsecs-criticism-of-st-jude-cyber-security/' class='excerpt-more'>[...]</a>",IdentityThreat
"KTTN reports that the medical records for 238 patients at Children?s Mercy Hospital were stolen from an employee&#8217;s lockedÿvehicleÿon August 4. From their report, it sounds like the employee routinely needed to take records from facility to facility. They did not explain why those records could not have remained on a server that the employee <a href='https://www.databreaches.net/mo-medical-records-for-238-childrens-mercy-hospital-patients-stolen/' class='excerpt-more'>[...]</a>",InsiderThreat
Matt Grant reports that more than 100 UCF students have had their debit and credit cards compromised after using them on campus. UCF does not yet know whether this is due to an wifi encryption issue connectedÿto the payment processing. Read more on WESH.,IdentityThreat
"BOSTON ? A former employee of a pain management clinic was charged Wednesdayÿin U.S. District Court in Boston in connection with a scheme to falsify patient medical records in order to obtain payments from the Medicare program and commercial insurance companies. Moustafa Moataz Aboshady, 33, an Egyptian national residing in Lake Forest, Calif., was indicted <a href='https://www.databreaches.net/former-employee-of-rhode-island-pain-clinic-charged-in-connection-with-fraudulent-billing-scheme/' class='excerpt-more'>[...]</a>",IdentityThreat
Erin Heffernan reports: A top Beaufort County elected official filed a legal complaint this week claiming the county and its treasurer compromised his family?s privacy by releasing personal information to a political adversary. Beaufort County Auditor Jim Beckert filed the complaint Sept. 29 in Beaufort County Common Pleas Court against both Beaufort County and County <a href='https://www.databreaches.net/sc-county-auditor-files-legal-complaint-against-county-treasurer-over-release-of-personal-records/' class='excerpt-more'>[...]</a>,IdentityThreat
"In August, I noted a ransomware attack on Marin Medical Practices Concepts (MMPC), a business associate providing billing and EMR services to many physicians. The ransomware prevented the physicians from accessing patient records for more than 10 days, and Marin decided to pay an undisclosed amount of ransom. In an August 4 statement, however, they <a href='https://www.databreaches.net/update-5000-marin-medical-practices-concepts-patient-records-lost-during-recovery-from-ransomware-attack/' class='excerpt-more'>[...]</a>",IdentityThreat
